NUMESCALA;C_Abonos;C_Agro-ganadero y alimentario;C_Energético;C_Material de construcción;C_Minerales no metálicos;C_Químicos;C_Siderometalúrgico;C_Vehículos y elementos de transporte;C_Otras mercancías;D_Abonos;D_Agro-ganadero y alimentario;D_Energético;D_Material de construcción;D_Minerales no metálicos;D_Químicos;D_Siderometalúrgico;D_Vehículos y elementos de transporte;D_Otras mercancías
C202000352;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4601.531;0;0
C202000357;0;0;0;0;0;0;0;0;0;0;3050;0;0;0;0;0;0;0
C202000358;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4194.7;0;0
C202000359;0;0;0;0;0;0;0;0;0;0;13410;0;0;0;0;0;0;0
C202000360;0;0;0;0;0;0;2139.603;0;0;0;0;0;0;0;0;0;0;0
C202000363;0;0;0;0;0;17000;0;0;0;0;0;0;0;0;0;0;0;0
C202000365;0;0;0;0;0;0;2040.871;0;0;0;0;0;0;0;0;0;0;0
C202000368;0;0;0;0;0;2505;0;0;0;0;0;0;0;0;0;963.87;0;0
C202000369;0;0;0;713.262;0;0;41.8;0;0;0;0;0;0;0;0;0;0;0
C202000371;0;0;0;0;0;0;0;0;0;0;0;0;5031.77;0;0;0;0;0
C202000372;0;0;0;0;0;3417;0;0;0;0;0;0;0;0;0;0;0;0
C202000374;0;0;0;0;0;2089;0;0;0;0;0;0;0;0;0;0;0;0
C202000376;0;0;0;0;0;0;0;0;0;6500;0;0;0;0;0;0;0;0
C202000378;0;0;0;0;0;15.776;0;0;281.982;0;0;0;0;0;0;0;0;0
C202000379;0;0;0;0;0;0;0;0;0;0;5697.342;0;0;0;0;0;0;0
C202000381;0;0;0;0;0;3604;0;0;0;0;0;0;0;0;0;3551;0;0
C202000384;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9271.171;0;0
C202000388;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3082.756;0;0
C202000389;0;0;0;0;0;0;0;0;0;4401.193;0;0;0;0;0;0;0;0
C202000390;0;0;0;0;0;0;0;0;0;0;0;0;0;5752.079;0;0;0;0
C202000391;0;0;0;0;0;3550;0;0;0;0;0;0;0;0;0;0;0;0
C202000392;0;0;0;0;0;0;0;0;0;0;29800;0;0;0;0;0;0;0
C202000394;0;0;0;0;0;0;0;0;0;0;33445.968;0;0;0;0;0;0;0
C202000395;0;0;0;0;0;0;0;0;0;0;0;5500;0;0;0;0;0;0
C202000396;0;0;0;0;0;0;0;0;0;0;7699.24;0;0;0;0;0;0;0
C202000397;0;0;0;0;3130.123;0;0;0;0;0;0;0;0;0;0;0;0;0
C202000400;0;0;0;0;0;0;2361.784;0;0;0;0;0;0;0;0;0;0;0
C202000405;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2215.7;0;0
C202000409;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4690.77;0;0
C202000410;0;0;0;0;0;0;0;0;0;0;2279.602;0;0;0;0;0;0;0
C202000411;0;0;0;0;0;0;3774.758;0;0;5820;0;0;0;0;0;0;0;0
C202000412;0;0;0;0;0;6000;0;0;0;0;0;0;0;0;0;0;0;0
C202000413;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;3534.732;0;0
C202000414;0;0;0;0;0;0;0;0;0;3016.8;0;0;0;0;0;0;0;0
C202000415;0;0;0;0;0;0;0;0;0;3080.24;0;0;0;0;0;0;0;0
C202000416;0;0;0;0;0;0;1750;0;0;0;0;0;0;0;0;0;0;0
C202000417;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4859.791
C202000418;0;0;0;0;0;19408;0;0;0;0;0;0;0;0;0;0;0;0
C202000419;2.44;0;0;0.54;0;28.027;0;0;0.091;0;0;0;0;0;0;0;0;0
C202000422;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4990.033;0;0
C202000423;0;0;0;0;0;0;0;0;0;0;12106;0;0;0;0;0;0;0
C202000424;0;0;0;0;0;0;2496.538;0;0;0;0;0;0;0;0;0;0;0
C202000425;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5425.805;0;0
C202000435;0;0;0;0;0;0;0;0;0;4311;0;0;0;0;0;0;0;0
C202000436;0;0;0;0;0;4850;0;0;0;0;0;0;0;0;0;0;0;0
C202000438;0;0;0;0;0;0;0;0;2150.125;0;0;0;0;0;0;2828.42;0;0
C202000439;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;9398.103;0;0
C202000440;0;0;0;0;0;0;2624.155;0;0;0;0;0;0;0;0;0;0;0
C202000442;0;0;0;0.9;0;266.445;3.07;0;1.427;0;0;0;0;0;0;0;0;0
C202000443;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4776.144;0;0
C202000447;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4951.373;0;0
C202000448;0;0;0;0;0;22890.2;0;0;0;0;0;0;0;0;0;0;0;0
C202000450;0;0;0;0;0;0;1606.266;0;2.5;0;0;0;0;0;0;0;0;0
C202000452;0;0;0;4059.462;0;0;153.267;0;0;0;0;0;0;0;0;0;0;0
C202000453;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;7943.48;0;0
C202000458;0;0;0;0;0;0;0;0;0;0;3163.45;0;0;0;0;0;0;0
